Title,Year,Score,Runtime,Genre,Rating
The Secret of My Succe$s,1987,6.5,111,Comedy,PG-13
Dragnet,1987,5.9,106,Comedy,PG-13
Rita  Sue and Bob Too,1987,6.4,93,Comedy,R
Blind Date,1987,5.9,95,Comedy,PG-13
House II: The Second Story,1987,5.4,88,Comedy,PG-13
Police Academy 4: Citizens on Patrol,1987,4.8,88,Comedy,PG
The Garbage Pail Kids Movie,1987,2.7,100,Adventure,PG
Throw Momma from the Train,1987,6.2,88,Comedy,PG-13
The Stepfather,1987,6.8,89,Horror,R
The Hidden,1987,7,96,Action,R
Amazon Women on the Moon,1987,6.2,85,Comedy,R
Barfly,1987,7.3,100,Comedy,R
Three O'Clock High,1987,7.2,97,Comedy,PG-13
Babette's Feast,1987,7.8,102,Comedy,G
The Believers,1987,6.1,114,Crime,R
The Pick-up Artist,1987,5.2,81,Comedy,PG-13
Radio Days,1987,7.6,88,Comedy,PG
Aria,1987,5.8,90,Comedy,R
Ernest Goes to Camp,1987,5.5,92,Comedy,PG
Au Revoir les Enfants,1987,8,104,Drama,PG
Someone to Watch Over Me,1987,6.1,106,Crime,R
Who's That Girl,1987,4.7,92,Comedy,PG
Cry Freedom,1987,7.5,157,Biography,PG
The Fourth Protocol,1987,6.5,119,Thriller,R
Ironweed,1987,6.8,143,Drama,R
Black Widow,1987,6.3,102,Crime,R
Stakeout,1987,6.6,117,Action,R
Like Father Like Son,1987,5.1,96,Comedy,PG-13
Bagdad Cafe,1987,7.5,95,Comedy,PG
Shy People,1987,6.9,100,Drama,R
Revenge of the Nerds II: Nerds in Paradise,1987,4.9,88,Comedy,PG-13
Prom Night II,1987,5.6,97,Horror,R
Death Wish 4: The Crackdown,1987,5.3,99,Action,R
Project X,1987,6.1,108,Comedy,PG
North Shore,1987,6.5,96,Action,PG
Man on Fire,1987,5.9,87,Action,R
The Barbarians,1987,4.9,87,Fantasy,R
Ishtar,1987,4.2,107,Action,PG-13
Hollywood Shuffle,1987,7,78,Comedy,R
Hunk,1987,4.6,102,Comedy,PG
House of Games,1987,7.3,102,Crime,R
No Man's Land,1987,6.1,100,Crime,R
The Curse,1987,4.9,92,Sci-Fi,R
Suspect,1987,6.6,121,Crime,R
The Principal,1987,6.2,109,Action,R
Hope and Glory,1987,7.4,113,Comedy,PG-13
Outrageous Fortune,1987,6.1,99,Comedy,R
Extreme Prejudice,1987,6.6,96,Action,R
American Ninja 2: The Confrontation,1987,4.8,90,Action,R
Matewan,1987,7.9,135,Drama,PG-13
Three for the Road,1987,5.3,88,Drama,PG
Leonard Part 6,1987,2.2,85,Action,PG
Street Smart,1987,6.4,97,Crime,R
Prick Up Your Ears,1987,7.4,105,Biography,R
The Sicilian,1987,5.3,115,Action,R
Born in East L.A.,1987,5.9,85,Comedy,R
Light of Day,1987,5.5,107,Drama,PG-13
Pelle the Conqueror,1987,7.9,157,Drama,PG-13
Return to Horror High,1987,4.2,95,Comedy,R
Back to the Beach,1987,5.8,92,Comedy,PG
Nightflyers,1987,4,89,Horror,R
Fatal Beauty,1987,5.3,104,Action,R
White Water Summer,1987,6.2,90,Adventure,PG
The Whales of August,1987,7.6,90,Drama,NOT RATED
Hiding Out,1987,6.4,98,Comedy,PG-13
My Best Friend Is a Vampire,1987,6.1,89,Comedy,PG
Malone,1987,5.6,92,Action,R
Hot Pursuit,1987,5.8,93,Comedy,PG-13
Real Men,1987,6.2,85,Action,PG-13
A Prayer for the Dying,1987,6.4,107,Action,R
Gardens of Stone,1987,6.4,111,Drama,R
Wanted: Dead or Alive,1987,5.9,106,Action,R
The Chipmunk Adventure,1987,7.2,100,Animation,G
The Kindred,1987,5.5,91,Horror,R
Made in Heaven,1987,6.5,100,Comedy,PG
Wisdom,1987,5.7,109,Crime,R
White Mischief,1987,6.3,107,Crime,R
September,1987,6.7,83,Drama,PG
The Dead,1987,7.4,83,Drama,PG
Steel Dawn,1987,5,100,Action,R
Prison,1987,5.9,102,Crime,R
Nuts,1987,6.7,116,Drama,R
Tin Men,1987,6.5,112,Comedy,R
The Hanoi Hilton,1987,6,125,Drama,R
Rampage,1987,6.3,97,Drama,R
The Big Town,1987,5.9,109,Drama,R
Wish You Were Here,1987,6.8,88,Comedy,R
The Allnighter,1987,4,108,Comedy,PG-13
The Belly of an Architect,1987,7,119,Drama,R
Best Seller,1987,6.5,95,Action,R
Siesta,1987,5.6,100,Drama,R
Promised Land,1987,5.7,102,Drama,R
The Bedroom Window,1987,6.4,112,Crime,R
Dark Eyes,1987,7.6,117,Comedy,Not specified
Maid to Order,1987,5.5,93,Fantasy,PG
Square Dance,1987,6.1,112,Drama,PG-13
Straight to Hell,1987,5.8,100,Action,R
Burglar,1987,5,103,Comedy,R
In the Mood,1987,6.1,98,Comedy,PG-13
84 Charing Cross Road,1987,7.5,100,Biography,PG
Silent Night  Deadly Night 2,1987,3.5,88,Horror,R
Five Corners,1987,6.3,90,Crime,R
Date with an Angel,1987,5.8,105,Comedy,PG
Walker,1987,6.6,94,Biography,R
Deadly Illusion,1987,4.7,87,Adventure,R
Slam Dance,1987,5.3,92,Mystery,R
The Squeeze,1987,4.6,101,Action,PG-13
Personal Services,1987,6.4,105,Comedy,R
Assassination,1987,5.1,88,Action,PG-13
Creepozoids,1987,3.5,72,Horror,R
China Girl,1987,6.1,90,Crime,R
Nadine,1987,5.5,83,Comedy,PG
Dead of Winter,1987,6.3,100,Drama,R
No Retreat  No Surrender 2,1987,5.1,104,Adventure,R
The Glass Menagerie,1987,7.2,134,Drama,PG
Anguish,1987,6.7,86,Horror,R
A Month in the Country,1987,7.2,96,Drama,PG
From a Whisper to a Scream,1987,6,99,Action,R
Hello Again,1987,5.1,96,Comedy,PG
Little Dorrit,1987,7.5,357,Drama,G
Walk Like a Man,1987,4.6,86,Comedy,PG
Tough Guys Don't Dance,1987,4.8,110,Comedy,R
Disorderlies,1987,4.8,86,Comedy,PG
Sister  Sister,1987,5.5,91,Drama,R
Making Mr. Right,1987,5.3,98,Comedy,PG-13
White of the Eye,1987,6.4,100,Horror,R
Russkies,1987,5.6,100,Drama,PG
Surrender,1987,5.4,105,Comedy,PG
Housekeeping,1987,7.3,116,Comedy,PG
The Year My Voice Broke,1987,7.5,103,Drama,PG-13
Hell High,1989,5,84,Crime,R
A Man in Love,1987,5.8,125,Drama,R
From the Hip,1987,6.2,111,Comedy,PG
Cross My Heart,1987,5.7,90,Comedy,R
Big Shots,1987,5.6,94,Adventure,PG-13
Critical Condition,1987,5.2,100,Comedy,R
Cyclone,1987,4.4,89,Action,R
Morgan Stewart's Coming Home,1987,5.4,100,Comedy,PG-13
Cold Steel,1987,4.5,91,Action,R
Zombie High,1987,4.2,93,Comedy,R
Intervista,1987,7.1,100,Comedy,Not specified
My Demon Lover,1987,4.6,90,Comedy,PG-13
Rumpelstiltskin,1987,5.4,84,Fantasy,G
World Gone Wild,1987,5.2,100,Action,R
Enemy Territory,1987,6.5,89,Action,R
Julia and Julia,1987,5.7,98,Drama,R
Crazy Love,1987,7,90,Drama,Not specified
Weeds,1987,6,115,Drama,R
The Grand Highway,1987,7.5,104,Drama,R
Peter Kenna's The Good Wife,1987,5.8,100,Drama,R
Rent-a-Cop,1987,4.3,96,Action,R
Boyfriends and Girlfriends,1987,7.7,103,Comedy,PG
Sammy and Rosie Get Laid,1987,6.7,101,Comedy,Not specified
Death Before Dishonor,1987,4.9,91,Action,R
The Killing Time,1987,5.4,94,Thriller,R
Eat the Rich,1987,6,90,Action,R
The Trouble with Spies,1987,4,91,Action,PG-13
Benji the Hunted,1987,6.3,88,Adventure,G
The Rosary Murders,1987,5.7,105,Crime,R
Swimming to Cambodia,1987,7.8,85,Comedy,R
Penitentiary III,1987,3.7,90,Comedy,R
Steele Justice,1987,4.8,95,Action,R
