Title	Year	Score	Runtime	Genre	Rating
Lion, 	2016, 	8.1/10, 	118 minutes, 	Biography, 	PG-13

Doctor Strange, 	2016, 	7.5/10, 	115 minutes, 	Action, 	PG-13

Your name, 	2016, 	8.5/10, 	106 minutes, 	Animation, 	PG

Star Trek Beyond, 	2016, 	7.1/10, 	122 minutes, 	Action, 	PG-13

Batman v Superman: Dawn of Justice, 	2016, 	6.6/10, 	151 minutes, 	Action, 	PG-13

Passengers, 	2016, 	7/10, 	116 minutes, 	Adventure, 	PG-13

Split, 	2016, 	7.3/10, 	117 minutes, 	Horror, 	PG-13

Deadpool, 	2016, 	8/10, 	108 minutes, 	Action, 	R

Hasta el ?ltimo hombre, 	2016, 	8.2/10, 	139 minutes, 	Biography, 	R

Rogue One, 	2016, 	7.9/10, 	133 minutes, 	Action, 	PG-13

Trolls, 	2016, 	6.5/10, 	92 minutes, 	Animation, 	PG

Arrival, 	2016, 	8/10, 	116 minutes, 	Drama, 	PG-13

Hidden Figures, 	2016, 	7.8/10, 	127 minutes, 	Biography, 	PG

Nocturnal Animals, 	2016, 	7.5/10, 	116 minutes, 	Crime, 	R

The Lost City of Z, 	2016, 	6.6/10, 	141 minutes, 	Adventure, 	PG-13

The Accountant, 	2016, 	7.4/10, 	128 minutes, 	Action, 	R

The Magnificent Seven, 	2016, 	6.9/10, 	132 minutes, 	Action, 	PG-13

Moana, 	2016, 	7.6/10, 	107 minutes, 	Animation, 	PG

Fantastic Beasts and Where to Find Them, 	2016, 	7.4/10, 	133 minutes, 	Adventure, 	PG-13

Sing, 	2016, 	7.1/10, 	108 minutes, 	Animation, 	PG

Suicide Squad, 	2016, 	6.2/10, 	123 minutes, 	Action, 	PG-13

La La Land, 	2016, 	8.2/10, 	128 minutes, 	Comedy, 	PG-13

Assassin's Creed, 	2016, 	5.9/10, 	115 minutes, 	Action, 	PG-13

The Bad Batch, 	2016, 	5.4/10, 	118 minutes, 	Drama, 	R

Summertime, 	2015, 	6.6/10, 	105 minutes, 	Drama, 	NOT RATED

90 Minutes in Heaven, 	2015, 	4.7/10, 	121 minutes, 	Drama, 	PG-13

The Vatican Tapes, 	2015, 	5.1/10, 	91 minutes, 	Horror, 	PG-13

I'll See You in My Dreams, 	2015, 	6.7/10, 	92 minutes, 	Comedy, 	PG-13

El gran peque?o, 	2015, 	7.4/10, 	106 minutes, 	Drama, 	PG-13

The Assassin, 	2015, 	6.4/10, 	105 minutes, 	Action, 	NOT RATED

Rock the Kasbah, 	2015, 	5.5/10, 	106 minutes, 	Comedy, 	R

The Meddler, 	2015, 	6.3/10, 	103 minutes, 	Comedy, 	PG-13

Shaun the Sheep Movie, 	2015, 	7.4/10, 	85 minutes, 	Animation, 	PG

Una historia de amor y oscuridad, 	2015, 	6/10, 	95 minutes, 	Biography, 	PG-13

45 Years, 	2015, 	7.1/10, 	91 minutes, 	Drama, 	R

Embrace of the Serpent, 	2015, 	7.9/10, 	125 minutes, 	Adventure, 	NOT RATED

Cop Car, 	2015, 	6.3/10, 	88 minutes, 	Crime, 	R

M?s fuerte que las bombas, 	2015, 	6.6/10, 	109 minutes, 	Drama, 	R

Attack on Titan: Part 1, 	2015, 	5.1/10, 	98 minutes, 	Action, 	NOT RATED

Closet Monster, 	2015, 	7/10, 	90 minutes, 	Drama, 	NOT RATED

Slow West, 	2015, 	6.9/10, 	84 minutes, 	Western, 	R

Experimenter, 	2015, 	6.6/10, 	98 minutes, 	Biography, 	PG-13

The D Train, 	2015, 	5/10, 	101 minutes, 	Comedy, 	R

The End of the Tour, 	2015, 	7.3/10, 	106 minutes, 	Biography, 	R

Captive, 	2015, 	5.4/10, 	97 minutes, 	Action, 	PG-13

Freeheld, 	2015, 	6.5/10, 	103 minutes, 	Biography, 	PG-13

Unfinished Business, 	2015, 	5.4/10, 	91 minutes, 	Comedy, 	R

Una sonrisa a la vida, 	2015, 	7.3/10, 	108 minutes, 	Comedy, 	TV-14

The Second Best Exotic Marigold Hotel, 	2015, 	6.6/10, 	122 minutes, 	Comedy, 	PG

Mississippi Grind, 	2015, 	6.3/10, 	108 minutes, 	Comedy, 	R

Chi-Raq, 	2015, 	5.7/10, 	127 minutes, 	Comedy, 	R

Paranormal Activity: The Ghost Dimension, 	2015, 	4.6/10, 	88 minutes, 	Horror, 	R

Hot Tub Time Machine 2, 	2015, 	5.1/10, 	93 minutes, 	Comedy, 	R

El nuevo nuevo testamento, 	2015, 	7.1/10, 	114 minutes, 	Comedy, 	NOT RATED

The Lady in the Van, 	2015, 	6.7/10, 	104 minutes, 	Biography, 	PG-13

Paul Blart: Mall Cop 2, 	2015, 	4.4/10, 	94 minutes, 	Action, 	PG

The Daughter, 	2015, 	6.7/10, 	96 minutes, 	Drama, 	Not specified

The Hallow, 	2015, 	5.7/10, 	97 minutes, 	Horror, 	NOT RATED

Strangerland, 	2015, 	5.2/10, 	112 minutes, 	Drama, 	R

3 Generations, 	2015, 	5.6/10, 	92 minutes, 	Drama, 	PG-13

Miss You Already, 	2015, 	6.8/10, 	112 minutes, 	Comedy, 	PG-13

I Saw the Light, 	2015, 	5.7/10, 	123 minutes, 	Biography, 	R

El hijo de Sa?l, 	2015, 	7.5/10, 	107 minutes, 	Drama, 	R

The Family Fang, 	2015, 	6.1/10, 	105 minutes, 	Comedy, 	R

Strange Magic, 	2015, 	5.8/10, 	99 minutes, 	Animation, 	PG

