Title	Year	Score	Runtime	Genre	Rating
The Longshot, 	1986, 	5.4/10, 	89 minutes, 	Comedy, 	PG-13

Off Beat, 	1986, 	5/10, 	92 minutes, 	Comedy, 	PG

Streets of Gold, 	1986, 	6/10, 	95 minutes, 	Drama, 	R

Weekend Warriors, 	1986, 	4.4/10, 	100 minutes, 	Action, 	R

Sky Bandits, 	1986, 	4.6/10, 	100 minutes, 	Action, 	PG

Armed Response, 	1986, 	4.9/10, 	86 minutes, 	Action, 	R

Otello, 	1986, 	7.2/10, 	100 minutes, 	Drama, 	PG

On the Edge, 	1986, 	7.1/10, 	95 minutes, 	Drama, 	PG-13

Low Blow, 	1986, 	3.5/10, 	100 minutes, 	Action, 	R

Belizaire the Cajun, 	1986, 	6.4/10, 	103 minutes, 	Drama, 	PG

A Man and a Woman: 20 Years Later, 	1986, 	5.8/10, 	112 minutes, 	Drama, 	PG

Quiet Cool, 	1986, 	5.7/10, 	100 minutes, 	Action, 	R

Behind Enemy Lines, 	1986, 	4.9/10, 	90 minutes, 	Action, 	R

Wired to Kill, 	1986, 	4.2/10, 	86 minutes, 	Action, 	R

The Fringe Dwellers, 	1986, 	6.7/10, 	98 minutes, 	Drama, 	PG

Scene of the Crime, 	1986, 	6.9/10, 	90 minutes, 	Crime, 	Not specified

GoBots: Battle of the Rock Lords, 	1986, 	5.8/10, 	75 minutes, 	Animation, 	G

The Gospel According to Vic, 	1986, 	6.1/10, 	92 minutes, 	Comedy, 	PG

Knights of the City, 	1986, 	4.8/10, 	87 minutes, 	Action, 	R

Saving Grace, 	1986, 	7/10, 	112 minutes, 	Comedy, 	PG

Jackals, 	1986, 	5.3/10, 	97 minutes, 	Action, 	R

Detective School Dropouts, 	1986, 	5.8/10, 	92 minutes, 	Comedy, 	PG

Where the River Runs Black, 	1986, 	6.6/10, 	100 minutes, 	Adventure, 	PG

Heathcliff: The Movie, 	1986, 	5.3/10, 	73 minutes, 	Family, 	G

One More Saturday Night, 	1986, 	5.7/10, 	95 minutes, 	Comedy, 	R

The Princess Bride, 	1987, 	8.1/10, 	98 minutes, 	Adventure, 	PG

Hellraiser, 	1987, 	7/10, 	94 minutes, 	Horror, 	R

Full Metal Jacket, 	1987, 	8.3/10, 	116 minutes, 	Drama, 	R

