Title	Year	Score	Runtime	Genre	Rating
3 Ninjas Knuckle Up, 	1995, 	4.1/10, 	85 minutes, 	Comedy, 	PG-13

Jury Duty, 	1995, 	4.1/10, 	88 minutes, 	Comedy, 	PG-13

Boogeyman, 	2005, 	4.1/10, 	89 minutes, 	Drama, 	PG-13

Supercross, 	2005, 	4.1/10, 	80 minutes, 	Action, 	PG-13

Top Dog, 	1995, 	4.1/10, 	86 minutes, 	Action, 	PG-13

Highlander II: The Quickening, 	1991, 	4.1/10, 	91 minutes, 	Action, 	R

The Stupids, 	1996, 	4.1/10, 	94 minutes, 	Comedy, 	PG

Meet the Browns, 	2008, 	4.1/10, 	100 minutes, 	Comedy, 	PG-13

Mannequin: On the Move, 	1991, 	4.1/10, 	95 minutes, 	Comedy, 	PG

B*A*P*S, 	1997, 	4.1/10, 	91 minutes, 	Comedy, 	PG-13

Playing for Keeps, 	1986, 	4.1/10, 	102 minutes, 	Comedy, 	PG-13

Stop! Or My Mom Will Shoot, 	1992, 	4.1/10, 	87 minutes, 	Action, 	PG-13

Inspector Gadget, 	1999, 	4.1/10, 	78 minutes, 	Action, 	PG

The Apparition, 	2012, 	4.1/10, 	83 minutes, 	Horror, 	PG-13

Love Crimes, 	1992, 	4.1/10, 	90 minutes, 	Romance, 	R

The King and I, 	1999, 	4.1/10, 	87 minutes, 	Animation, 	G

Universal Soldier: The Return, 	1999, 	4.1/10, 	83 minutes, 	Action, 	R

Wicked Stepmother, 	1989, 	4.1/10, 	90 minutes, 	Comedy, 	PG-13

Fifty Shades of Grey, 	2015, 	4.1/10, 	125 minutes, 	Drama, 	R

Leyenda urbana 2, 	2000, 	4.1/10, 	97 minutes, 	Horror, 	R

Jem and the Holograms, 	2015, 	4.1/10, 	118 minutes, 	Adventure, 	PG

Bones, 	2001, 	4.1/10, 	96 minutes, 	Crime, 	R

On the Line, 	2001, 	4.1/10, 	85 minutes, 	Comedy, 	PG

Halloween: Resurrection, 	2002, 	4.1/10, 	94 minutes, 	Comedy, 	R

Exit to Eden, 	1994, 	4.1/10, 	113 minutes, 	Comedy, 	R

House Party 3, 	1994, 	4.1/10, 	100 minutes, 	Comedy, 	R

A Sound of Thunder, 	2005, 	4.2/10, 	102 minutes, 	Action, 	PG-13

Basic Instinct 2, 	2006, 	4.2/10, 	114 minutes, 	Drama, 	R

The Comebacks, 	2007, 	4.2/10, 	107 minutes, 	Comedy, 	PG-13

Ishtar, 	1987, 	4.2/10, 	107 minutes, 	Action, 	PG-13

Return to Horror High, 	1987, 	4.2/10, 	95 minutes, 	Comedy, 	R

Illegally Yours, 	1988, 	4.2/10, 	102 minutes, 	Comedy, 	PG

I Can Do Bad All by Myself, 	2009, 	4.2/10, 	100 minutes, 	Comedy, 	PG-13

The Last Airbender, 	2010, 	4.2/10, 	103 minutes, 	Action, 	PG

Marmaduke, 	2010, 	4.2/10, 	100 minutes, 	Comedy, 	PG

Children of the Corn II: The Final Sacrifice, 	1992, 	4.2/10, 	92 minutes, 	Horror, 	R

The Devil Inside, 	2012, 	4.2/10, 	83 minutes, 	Horror, 	R

Police Academy 6: City Under Siege, 	1989, 	4.2/10, 	84 minutes, 	Comedy, 	PG

Wing Commander, 	1999, 	4.2/10, 	100 minutes, 	Action, 	PG-13

The Mod Squad, 	1999, 	4.2/10, 	92 minutes, 	Action, 	R

Suits, 	1999, 	4.2/10, 	88 minutes, 	Comedy, 	R

The Legend of Hercules, 	2014, 	4.2/10, 	100 minutes, 	Action, 	PG-13

The Adventures of Rocky & Bullwinkle, 	2000, 	4.2/10, 	92 minutes, 	Animation, 	PG

Look Who's Talking Now, 	1993, 	4.2/10, 	96 minutes, 	Comedy, 	PG-13

Zombie High, 	1987, 	4.2/10, 	93 minutes, 	Comedy, 	R

River of Death, 	1989, 	4.2/10, 	107 minutes, 	Adventure, 	R

Wired to Kill, 	1986, 	4.2/10, 	86 minutes, 	Action, 	R

Pinocchio, 	2002, 	4.2/10, 	108 minutes, 	Comedy, 	G

Spy Kids 3: Game Over, 	2003, 	4.2/10, 	84 minutes, 	Action, 	PG

Thunderbirds, 	2004, 	4.2/10, 	95 minutes, 	Action, 	PG

Fat Albert, 	2004, 	4.3/10, 	93 minutes, 	Comedy, 	PG

Graffiti Bridge, 	1990, 	4.3/10, 	95 minutes, 	Drama, 	PG-13

Striptease, 	1996, 	4.3/10, 	115 minutes, 	Comedy, 	R

Zoom, 	2006, 	4.3/10, 	100 minutes, 	Action, 	PG

Littleman, 	2006, 	4.3/10, 	100 minutes, 	Comedy, 	PG-13

Suburban Commando, 	1991, 	4.3/10, 	90 minutes, 	Action, 	PG

And God Created Woman, 	1988, 	4.3/10, 	100 minutes, 	Comedy, 	R

Home Alone 3, 	1997, 	4.3/10, 	102 minutes, 	Comedy, 	PG

Arthur 2: On the Rocks, 	1988, 	4.3/10, 	113 minutes, 	Comedy, 	PG

College Road Trip, 	2008, 	4.3/10, 	83 minutes, 	Adventure, 	G

First Sunday, 	2008, 	4.3/10, 	100 minutes, 	Comedy, 	PG-13

Hannah Montana: The Movie, 	2009, 	4.3/10, 	102 minutes, 	Comedy, 	G

Madea Goes to Jail, 	2009, 	4.3/10, 	103 minutes, 	Comedy, 	PG-13

Born American, 	1986, 	4.3/10, 	97 minutes, 	Action, 	R

Species II, 	1998, 	4.3/10, 	93 minutes, 	Action, 	R

Cats & Dogs: The Revenge of Kitty Galore, 	2010, 	4.3/10, 	100 minutes, 	Action, 	PG

Ghost Rider: Spirit of Vengeance, 	2011, 	4.3/10, 	96 minutes, 	Action, 	PG-13

LOL, 	2012, 	4.3/10, 	97 minutes, 	Comedy, 	PG-13

Movie 43, 	2013, 	4.3/10, 	94 minutes, 	Comedy, 	R

No Holds Barred, 	1989, 	4.3/10, 	93 minutes, 	Action, 	PG-13

Cannonball Fever, 	1989, 	4.3/10, 	94 minutes, 	Comedy, 	PG

Nutty Professor II: The Klumps, 	2000, 	4.3/10, 	106 minutes, 	Comedy, 	PG-13

Jason Goes to Hell: The Final Friday, 	1993, 	4.3/10, 	87 minutes, 	Fantasy, 	R

Fantastic Four, 	2015, 	4.3/10, 	100 minutes, 	Action, 	PG-13

Even Cowgirls Get the Blues, 	1993, 	4.3/10, 	95 minutes, 	Comedy, 	R

Fast Food, 	1989, 	4.3/10, 	92 minutes, 	Comedy, 	PG-13

Rent-a-Cop, 	1987, 	4.3/10, 	96 minutes, 	Action, 	R

The Next Karate Kid, 	1994, 	4.3/10, 	107 minutes, 	Action, 	PG

Highlander: The Final Dimension, 	1994, 	4.3/10, 	99 minutes, 	Action, 	PG-13

Troll, 	1986, 	4.3/10, 	82 minutes, 	Comedy, 	PG-13

Ghost Dad, 	1990, 	4.3/10, 	83 minutes, 	Comedy, 	PG

Police Academy 5: Assignment: Miami Beach, 	1988, 	4.4/10, 	90 minutes, 	Comedy, 	PG

Johnson Family Vacation, 	2004, 	4.4/10, 	97 minutes, 	Comedy, 	PG-13

Slumber Party Massacre III, 	1990, 	4.4/10, 	87 minutes, 	Comedy, 	R

Body Chemistry, 	1990, 	4.4/10, 	84 minutes, 	Drama, 	R

Def by Temptation, 	1990, 	4.4/10, 	95 minutes, 	Horror, 	R

xXx: State of the Union, 	2005, 	4.4/10, 	101 minutes, 	Action, 	PG-13

Love & Murder, 	1990, 	4.4/10, 	87 minutes, 	Crime, 	R

Dr. Jekyll and Ms. Hyde, 	1995, 	4.4/10, 	100 minutes, 	Comedy, 	PG-13

Rumpelstiltskin, 	1995, 	4.4/10, 	87 minutes, 	Comedy, 	R

The Island of Dr. Moreau, 	1996, 	4.4/10, 	96 minutes, 	Horror, 	PG-13

Bio-Dome, 	1996, 	4.4/10, 	88 minutes, 	Comedy, 	PG-13

Ultraviolet, 	2006, 	4.4/10, 	88 minutes, 	Action, 	PG-13

Hot to Trot, 	1988, 	4.4/10, 	100 minutes, 	Comedy, 	PG

The Human Centipede (First Sequence), 	2009, 	4.4/10, 	92 minutes, 	Horror, 	R

McHale's Navy, 	1997, 	4.4/10, 	108 minutes, 	Action, 	PG

Sex and the City 2, 	2010, 	4.4/10, 	146 minutes, 	Comedy, 	R

Skyline, 	2010, 	4.4/10, 	97 minutes, 	Action, 	PG-13

Blue City, 	1986, 	4.4/10, 	83 minutes, 	Action, 	R

Alvin and the Chipmunks: Chipwrecked, 	2011, 	4.4/10, 	87 minutes, 	Animation, 	G

In the Land of Blood and Honey, 	2011, 	4.4/10, 	100 minutes, 	Drama, 	R

Big Mommas: Like Father  Like Son, 	2011, 	4.4/10, 	107 minutes, 	Action, 	PG-13

Christopher Columbus: The Discovery, 	1992, 	4.4/10, 	120 minutes, 	Adventure, 	PG-13

Coming Soon, 	1999, 	4.4/10, 	96 minutes, 	Comedy, 	R

Allan Quatermain and the Lost City of Gold, 	1986, 	4.4/10, 	99 minutes, 	Action, 	PG

Weekend Warriors, 	1986, 	4.4/10, 	100 minutes, 	Action, 	R

The Toxic Avenger Part III: The Last Temptation of Toxie, 	1989, 	4.4/10, 	102 minutes, 	Action, 	R

El cuerpo del delito, 	1993, 	4.4/10, 	99 minutes, 	Drama, 	R

Cyclone, 	1987, 	4.4/10, 	89 minutes, 	Action, 	R

Paul Blart: Mall Cop 2, 	2015, 	4.4/10, 	94 minutes, 	Action, 	PG

Wired, 	1989, 	4.4/10, 	112 minutes, 	Biography, 	R

Rude Awakening, 	1989, 	4.4/10, 	100 minutes, 	Comedy, 	R

Second Sight, 	1989, 	4.4/10, 	83 minutes, 	Comedy, 	PG

Jason X, 	2001, 	4.4/10, 	91 minutes, 	Action, 	R

The Darkness, 	2016, 	4.4/10, 	92 minutes, 	Horror, 	PG-13

Ghost in the Machine, 	1993, 	4.4/10, 	95 minutes, 	Horror, 	R

Town & Country, 	2001, 	4.4/10, 	104 minutes, 	Comedy, 	R

On Deadly Ground, 	1994, 	4.4/10, 	101 minutes, 	Action, 	R

State Property, 	2002, 	4.4/10, 	88 minutes, 	Drama, 	R

North, 	1994, 	4.4/10, 	87 minutes, 	Adventure, 	PG

3 Ninjas Kick Back, 	1994, 	4.4/10, 	93 minutes, 	Family, 	PG

Leprechaun 2, 	1994, 	4.4/10, 	85 minutes, 	Comedy, 	R

Kangaroo Jack, 	2003, 	4.4/10, 	89 minutes, 	Action, 	PG

Taxi, 	2004, 	4.4/10, 	97 minutes, 	Action, 	PG-13

Soul Plane, 	2004, 	4.4/10, 	86 minutes, 	Comedy, 	R

Agent Cody Banks 2: Destination London, 	2004, 	4.5/10, 	100 minutes, 	Action, 	PG

Vampire in Brooklyn, 	1995, 	4.5/10, 	100 minutes, 	Comedy, 	R

Delta of Venus, 	1995, 	4.5/10, 	99 minutes, 	Drama, 	R

Destiny Turns on the Radio, 	1995, 	4.5/10, 	102 minutes, 	Crime, 	R

Eliminators, 	1986, 	4.5/10, 	96 minutes, 	Action, 	PG

The Crow: City of Angels, 	1996, 	4.5/10, 	84 minutes, 	Action, 	R

Not of This Earth, 	1988, 	4.5/10, 	81 minutes, 	Comedy, 	R

Postal, 	2007, 	4.5/10, 	100 minutes, 	Action, 	R

Kickboxer 2: The Road Back, 	1991, 	4.5/10, 	100 minutes, 	Action, 	R

Superhero Movie, 	2008, 	4.5/10, 	75 minutes, 	Action, 	PG-13

A Fine Mess, 	1986, 	4.5/10, 	90 minutes, 	Action, 	PG

And You Thought Your Parents Were Weird, 	1991, 	4.5/10, 	92 minutes, 	Comedy, 	PG

Alvin and the Chipmunks: The Squeakquel, 	2009, 	4.5/10, 	88 minutes, 	Animation, 	PG

Bitch Slap, 	2009, 	4.5/10, 	109 minutes, 	Action, 	R

Dangerous Ground, 	1997, 	4.5/10, 	95 minutes, 	Action, 	R

Major League: Back to the Minors, 	1998, 	4.5/10, 	100 minutes, 	Comedy, 	PG-13

Wild Orchid, 	1989, 	4.5/10, 	105 minutes, 	Drama, 	R

Air Bud: Golden Receiver, 	1998, 	4.5/10, 	90 minutes, 	Comedy, 	G

Ride, 	1998, 	4.5/10, 	90 minutes, 	Comedy, 	R

The Return of Swamp Thing, 	1989, 	4.5/10, 	84 minutes, 	Sci-Fi, 	PG-13

Simpatico, 	1999, 	4.5/10, 	106 minutes, 	Drama, 	R

Friends & Lovers, 	1999, 	4.5/10, 	100 minutes, 	Drama, 	R

Ouija, 	2014, 	4.5/10, 	89 minutes, 	Horror, 	PG-13

Rape Me, 	2000, 	4.5/10, 	77 minutes, 	Crime, 	UNRATED

Cold Steel, 	1987, 	4.5/10, 	91 minutes, 	Action, 	R

Freddy Got Fingered, 	2001, 	4.5/10, 	87 minutes, 	Comedy, 	R

Driven, 	2001, 	4.5/10, 	116 minutes, 	Action, 	PG-13

Night Visitor, 	1989, 	4.5/10, 	93 minutes, 	Horror, 	R

Philadelphia Experiment II, 	1993, 	4.5/10, 	97 minutes, 	Action, 	PG-13

Look Who's Talking Too, 	1990, 	4.5/10, 	81 minutes, 	Comedy, 	PG-13

Juwanna Mann, 	2002, 	4.5/10, 	91 minutes, 	Comedy, 	PG-13

The Men's Club, 	1986, 	4.5/10, 	101 minutes, 	Drama, 	R

Johnny Be Good, 	1988, 	4.5/10, 	91 minutes, 	Comedy, 	R

Anacondas: The Hunt for the Blood Orchid, 	2004, 	4.6/10, 	97 minutes, 	Action, 	PG-13

Yu-Gi-Oh!: The Movie, 	2004, 	4.6/10, 	100 minutes, 	Animation, 	PG

Deuce Bigalow: European Gigolo, 	2005, 	4.6/10, 	83 minutes, 	Comedy, 	R

Are We There Yet?, 	2005, 	4.6/10, 	95 minutes, 	Adventure, 	PG

The Jerky Boys, 	1995, 	4.6/10, 	100 minutes, 	Comedy, 	R

Howard the Duck, 	1986, 	4.6/10, 	110 minutes, 	Action, 	PG

Problem Child 2, 	1991, 	4.6/10, 	93 minutes, 	Comedy, 	PG-13

Black Christmas, 	2006, 	4.6/10, 	84 minutes, 	Horror, 	R

Big Momma's House 2, 	2006, 	4.6/10, 	99 minutes, 	Comedy, 	PG-13

Hombre lobo, 	2006, 	4.6/10, 	110 minutes, 	Action, 	R

High School Musical 3: Senior Year, 	2008, 	4.6/10, 	112 minutes, 	Comedy, 	G

Deadtime Stories, 	1986, 	4.6/10, 	93 minutes, 	Comedy, 	R

College, 	2008, 	4.6/10, 	100 minutes, 	Comedy, 	R

Hunk, 	1987, 	4.6/10, 	102 minutes, 	Comedy, 	PG

Warriors of Virtue, 	1997, 	4.6/10, 	100 minutes, 	Action, 	PG

The Twilight Saga: New Moon, 	2009, 	4.6/10, 	130 minutes, 	Adventure, 	PG-13

Free Willy 3: The Rescue, 	1997, 	4.6/10, 	86 minutes, 	Adventure, 	PG

That Darn Cat, 	1997, 	4.6/10, 	89 minutes, 	Action, 	PG

Psycho, 	1998, 	4.6/10, 	105 minutes, 	Horror, 	R

